Place of Residence,Age Group,Gender,Tipo de dificuldade,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação,freguesia_code,municipio,region
Cascais,25 - 29 anos,H,Memória ou concentração,4592,319,35,5,1105,Cascais,Grande Lisboa
Cascais,25 - 29 anos,H,Compreender os outros ou fazer-se compreender,4825,109,22,9,1105,Cascais,Grande Lisboa
Cascais,25 - 29 anos,M,Ver,3992,651,53,6,1105,Cascais,Grande Lisboa
Cascais,25 - 29 anos,M,Ouvir,4584,89,9,4,1105,Cascais,Grande Lisboa
Cascais,25 - 29 anos,M,Andar ou subir degraus,4576,106,14,9,1105,Cascais,Grande Lisboa
Cascais,25 - 29 anos,M,Memória ou concentração,4213,450,28,12,1105,Cascais,Grande Lisboa
Cascais,25 - 29 anos,M,Compreender os outros ou fazer-se compreender,4586,95,11,9,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,H,Ver,4287,419,22,4,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,H,Ouvir,4610,95,11,8,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,H,Andar ou subir degraus,4599,108,14,8,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,H,Memória ou concentração,4323,358,36,13,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,H,Compreender os outros ou fazer-se compreender,4550,149,25,6,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,M,Ver,4408,693,52,4,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,M,Ouvir,5001,116,8,7,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,M,Andar ou subir degraus,5010,135,11,7,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,M,Memória ou concentração,4540,581,26,7,1105,Cascais,Grande Lisboa
Cascais,30 - 34 anos,M,Compreender os outros ou fazer-se compreender,4995,138,17,6,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,H,Ver,4997,542,21,9,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,H,Ouvir,5390,148,7,11,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,H,Andar ou subir degraus,5384,156,16,12,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,H,Memória ou concentração,5028,473,51,11,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,H,Compreender os outros ou fazer-se compreender,5374,164,20,6,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,M,Ver,5442,923,52,12,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,M,Ouvir,6227,167,12,13,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,M,Andar ou subir degraus,6200,205,27,14,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,M,Memória ou concentração,5600,788,41,13,1105,Cascais,Grande Lisboa
Cascais,35 - 39 anos,M,Compreender os outros ou fazer-se compreender,6294,127,15,11,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,H,Ver,6201,881,36,8,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,H,Ouvir,6823,258,15,16,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,H,Andar ou subir degraus,6863,229,41,14,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,H,Memória ou concentração,6419,657,38,19,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,H,Compreender os outros ou fazer-se compreender,6954,151,23,10,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,M,Ver,6900,1617,80,18,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,M,Ouvir,8269,292,20,18,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,M,Andar ou subir degraus,8153,401,50,14,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,M,Memória ou concentração,7434,1102,55,20,1105,Cascais,Grande Lisboa
Cascais,40 - 44 anos,M,Compreender os outros ou fazer-se compreender,8389,188,21,16,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,H,Ver,6127,1695,76,13,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,H,Ouvir,7431,402,36,16,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,H,Andar ou subir degraus,7484,365,54,27,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,H,Memória ou concentração,7050,790,56,19,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,H,Compreender os outros ou fazer-se compreender,7680,203,27,9,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,M,Ver,6596,2545,143,18,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,M,Ouvir,8803,407,33,23,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,M,Andar ou subir degraus,8552,639,89,23,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,M,Memória ou concentração,7871,1317,90,19,1105,Cascais,Grande Lisboa
Cascais,45 - 49 anos,M,Compreender os outros ou fazer-se compreender,9088,191,22,8,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,H,Ver,5013,1843,101,17,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,H,Ouvir,6376,511,44,26,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,H,Andar ou subir degraus,6321,533,88,35,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,H,Memória ou concentração,6027,855,67,27,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,H,Compreender os outros ou fazer-se compreender,6731,193,35,11,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,M,Ver,5379,2511,210,11,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,M,Ouvir,7516,509,38,12,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,M,Andar ou subir degraus,7084,902,112,14,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,M,Memória ou concentração,6642,1361,83,13,1105,Cascais,Grande Lisboa
Cascais,50 - 54 anos,M,Compreender os outros ou fazer-se compreender,7870,204,26,8,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,H,Ver,4527,1708,113,15,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,H,Ouvir,5667,604,45,17,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,H,Andar ou subir degraus,5554,679,121,22,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,H,Memória ou concentração,5345,919,76,20,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,H,Compreender os outros ou fazer-se compreender,6120,196,37,10,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,M,Ver,5208,2369,200,9,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,M,Ouvir,7054,605,73,16,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,M,Andar ou subir degraus,6428,1162,179,22,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,M,Memória ou concentração,6148,1489,123,15,1105,Cascais,Grande Lisboa
Cascais,55 - 59 anos,M,Compreender os outros ou fazer-se compreender,7503,247,27,11,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,H,Ver,4010,1504,114,15,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,H,Ouvir,4795,736,80,11,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,H,Andar ou subir degraus,4625,810,179,40,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,H,Memória ou concentração,4551,988,85,18,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,H,Compreender os outros ou fazer-se compreender,5398,210,34,9,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,M,Ver,4711,2083,226,13,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,M,Ouvir,6146,761,74,15,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,M,Andar ou subir degraus,5231,1499,290,34,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,M,Memória ou concentração,5404,1468,143,20,1105,Cascais,Grande Lisboa
Cascais,60 - 64 anos,M,Compreender os outros ou fazer-se compreender,6772,238,30,12,1105,Cascais,Grande Lisboa
Cascais,65 - 69 anos,H,Ver,3703,1376,127,16,1105,Cascais,Grande Lisboa
Cascais,65 - 69 anos,H,Ouvir,4136,932,115,11,1105,Cascais,Grande Lisboa
Cascais,65 - 69 anos,H,Andar ou subir degraus,3999,1003,204,36,1105,Cascais,Grande Lisboa
